Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Science,null,null,null,null,null,null,null,null,null,null,E,B,D,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,O,null,null,null,null,null,null,null,null,null,null,F,null,null,null,null,B,C,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,O,null,E,null,null,null,null,null,B,null,null,null,null,F,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,E,null,null,null,null,null,null,null,B,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,E,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,C,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,D,null,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,D,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,F,D,C,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,A,D,null,null,null,null,null,null,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,E,null,null,null,null,null,null,null,E,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,C,null,D,null,null,null,null,null,null,F,O,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,null,null,null,null,null,null,null,null,E,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,C,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,,null,null,,,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,D,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,B,null,A,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,D,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null
Faculty of Science,null,D,D,null,null,null,null,null,null,null,null,null,C,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,E,null,null,null,null,null,null,null,null,F,null,D,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,B,null,null,null,null,null,null,null,null,B,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,O,null,null,null,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,B,null,null,B,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,null,null,A,C,null,null,null,null,null,null,null,null,null,null,null,D,null,null,D,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,null,null,B,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,null,A,null,C,A,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,D,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,null,A,null,null,D,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,D,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,O,null,null,null,null,null,null,null,null,D,E,D,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,E,null,null,null,null,null,null,null,C,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,C,C,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,A,null,A,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,B,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,C,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,C,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
